,Price,Title,Visitors,Beds,Bedrooms,Baths,Guest Favorite,Superhost,Review Index,Number of reviews,Host Name,Latitude,Longitude,char_superhost,char_free_cancellation,char_fast_wifi,char_dedicated_workspace,char_great_location,char_furry_friends,char_highly_rated,char_self_check-in,char_great_check-in,char_remote_work,char_communication,char_park,char_experienced_host,municipality
45.0,52.0,Sissy's cozy flat,3.0,2.0,1.04,1.0,1,1,4.0,63.0,Sissy,40.67365,22.91405,0,1,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
46.0,36.0,Modern & Comfy Apartment,2.0,1.1,1.0,1.0,0,0,4.14,4.06,Απόστολος,40.6547,22.93455,0,0,0,0,0,0,0,0,0,0,1,0,1,
60.0,50.0,Elegant Apartment,2.0,1.0,1.0,1.0,0,0,4.95,2.0,Panagiotis,40.6549,22.917,0,0,0,0,0,0,0,1,0,0,0,0,0,
71.0,42.0,#6 Ioannas Apartments,5.0,3.0,1.0,1.0,1,1,5.0,19.0,Ioanna Apartments,40.6778,22.9351,1,0,0,0,0,1,0,1,0,0,0,0,0,Σταυρούπολη
85.0,52.0,"Apartment with a view, close to city center",4.0,2.0,1.0,1.0,1,1,5.0,14.0,Alexandra,40.6553,22.9079,1,1,0,0,0,0,0,0,0,0,0,0,0,Δημοτική Ενότητα Μενεμένης
1.0,65.0,Stylish Modern 4BR Maisonette.,8.0,7.0,4.0,2.0,1,1,4.0,9.0,Georgios,40.6686664,22.9270523,1,1,0,0,0,0,0,1,0,0,0,0,0,Σταυρούπολη
10.0,20.0,Looking for the room?,1.61,1.0,1.04,0.77,1,1,4.0,134.0,Stay with Olga,40.65929,22.93068,0,1,0,0,0,0,0,0,0,0,0,0,0,Σταυρούπολη
18.0,45.0,Great studio place!,2.0,1.0,1.0,1.0,1,1,4.0,68.0,Anastasia,40.66584,22.94278,1,1,0,0,0,0,0,1,0,0,0,0,0,Σταυρούπολη
21.0,32.0,Newbuild superfresh n2 studio-apartment_SKG,2.0,1.0,1.0,1.0,0,0,4.0,7.0,Κατερινα,40.6506,22.9148,0,1,0,0,0,0,0,0,1,0,0,0,1,Δημοτική Ενότητα Μενεμένης
17.0,35.0,Ifos Apartments,2.0,1.0,1.0,1.0,1,1,5.0,6.0,Ruslana,40.6491,22.9232,1,1,0,0,0,0,0,0,1,0,0,0,0,
